ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000150477,57536,KIAA1328,KIAA1328,18
ENSG00000171792,83695,RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1,12
ENSG00000167130,57171,DOLPP1,dolichyldiphosphatase 1,9
ENSG00000108528,8402,SLC25A11,solute carrier family 25 member 11,17
ENSG00000073803,9175,MAP3K13,mitogen-activated protein kinase kinase kinase 13,3
ENSG00000100003,23541,SEC14L2,SEC14 like lipid binding 2,22
ENSG00000206140,645426,TMEM191C,transmembrane protein 191C,22
ENSG00000063587,10838,ZNF275,zinc finger protein 275,X
ENSG00000171130,155066,ATP6V0E2,ATPase H+ transporting V0 subunit e2,7
ENSG00000122824,170685,NUDT10,nudix hydrolase 10,X
ENSG00000140992,5170,PDPK1,3-phosphoinositide dependent protein kinase 1,16
ENSG00000149476,26007,TKFC,triokinase and FMN cyclase,11
ENSG00000078295,108,ADCY2,adenylate cyclase 2,5
ENSG00000177108,283576,ZDHHC22,zinc finger DHHC-type containing 22,14
ENSG00000136059,50853,VILL,villin like,3
ENSG00000184209,11066,SNRNP35,small nuclear ribonucleoprotein U11/U12 subunit 35,12
ENSG00000197177,84435,ADGRA1,adhesion G protein-coupled receptor A1,10
ENSG00000155816,56776,FMN2,formin 2,1
ENSG00000162551,249,ALPL,"alkaline phosphatase, biomineralization associated",1
ENSG00000165527,382,ARF6,ADP ribosylation factor 6,14
ENSG00000099290,387680,WASHC2A,WASH complex subunit 2A,10
ENSG00000167034,4824,NKX3-1,NK3 homeobox 1,8
ENSG00000157036,9941,EXOG,exo/endonuclease G,3
ENSG00000164976,57462,MYORG,myogenesis regulating glycosidase (putative),9
ENSG00000143319,81875,ISG20L2,interferon stimulated exonuclease gene 20 like 2,1
ENSG00000139508,283537,SLC46A3,solute carrier family 46 member 3,13
ENSG00000180667,55432,YOD1,YOD1 deubiquitinase,1
ENSG00000101442,79913,ACTR5,actin related protein 5,20
ENSG00000144028,23020,SNRNP200,small nuclear ribonucleoprotein U5 subunit 200,2
ENSG00000158850,8703,B4GALT3,"beta-1,4-galactosyltransferase 3",1
ENSG00000139405,84934,RITA1,RBPJ interacting and tubulin associated 1,12
ENSG00000100564,5283,PIGH,phosphatidylinositol glycan anchor biosynthesis class H,14
ENSG00000166265,116159,CYYR1,cysteine and tyrosine rich 1,21
ENSG00000139146,58516,SINHCAF,SIN3-HDAC complex associated factor,12
ENSG00000101126,23394,ADNP,activity dependent neuroprotector homeobox,20
ENSG00000162976,130814,SLC66A3,solute carrier family 66 member 3,2
ENSG00000048405,168850,ZNF800,zinc finger protein 800,7
ENSG00000153896,148103,ZNF599,zinc finger protein 599,19
ENSG00000140153,91833,WDR20,WD repeat domain 20,14
ENSG00000116830,8458,TTF2,transcription termination factor 2,1
ENSG00000067900,6093,ROCK1,Rho associated coiled-coil containing protein kinase 1,18
ENSG00000078269,8871,SYNJ2,synaptojanin 2,6
ENSG00000108448,147166,TRIM16L,tripartite motif containing 16 like,17
ENSG00000160746,55129,ANO10,anoctamin 10,3
ENSG00000016391,55349,CHDH,choline dehydrogenase,3
ENSG00000025423,8630,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6,12
ENSG00000125166,2806,GOT2,glutamic-oxaloacetic transaminase 2,16
ENSG00000174428,389524,GTF2IRD2B,GTF2I repeat domain containing 2B,7
ENSG00000138115,1558,CYP2C8,cytochrome P450 family 2 subfamily C member 8,10
ENSG00000168243,2786,GNG4,G protein subunit gamma 4,1
ENSG00000002746,23072,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",7
ENSG00000172817,9420,CYP7B1,cytochrome P450 family 7 subfamily B member 1,8
ENSG00000162728,3765,KCNJ9,potassium inwardly rectifying channel subfamily J member 9,1
ENSG00000244045,147007,TMEM199,transmembrane protein 199,17
ENSG00000198464,147657,ZNF480,zinc finger protein 480,19
ENSG00000158552,130617,ZFAND2B,zinc finger AN1-type containing 2B,2
ENSG00000181274,23401,FRAT2,FRAT regulator of WNT signaling pathway 2,10
ENSG00000101311,55612,FERMT1,fermitin family member 1,20
ENSG00000135486,3178,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,12
ENSG00000106809,4969,OGN,osteoglycin,9
ENSG00000131831,10742,RAI2,retinoic acid induced 2,X
ENSG00000197980,389170,LEKR1,"leucine, glutamate and lysine rich 1",3
ENSG00000141664,54877,ZCCHC2,zinc finger CCHC-type containing 2,18
ENSG00000263956,200030,NBPF11,NBPF member 11,1
ENSG00000170160,9720,CCDC144A,coiled-coil domain containing 144A,17
ENSG00000120451,399979,SNX19,sorting nexin 19,11
ENSG00000112234,26235,FBXL4,F-box and leucine rich repeat protein 4,6
ENSG00000105866,6671,SP4,Sp4 transcription factor,7
ENSG00000123473,6491,STIL,STIL centriolar assembly protein,1
ENSG00000170214,147,ADRA1B,adrenoceptor alpha 1B,5
ENSG00000164687,2171,FABP5,fatty acid binding protein 5,8
ENSG00000165028,55335,NIPSNAP3B,nipsnap homolog 3B,9
ENSG00000117862,51060,TXNDC12,thioredoxin domain containing 12,1
ENSG00000168807,6645,SNTB2,syntrophin beta 2,16
ENSG00000182870,50614,GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,12
ENSG00000143970,55252,ASXL2,ASXL transcriptional regulator 2,2
ENSG00000215421,55628,ZNF407,zinc finger protein 407,18
ENSG00000118096,56912,IFT46,intraflagellar transport 46,11
ENSG00000115211,8890,EIF2B4,eukaryotic translation initiation factor 2B subunit delta,2
ENSG00000154957,7566,ZNF18,zinc finger protein 18,17
ENSG00000162783,51278,IER5,immediate early response 5,1
ENSG00000185963,23299,BICD2,BICD cargo adaptor 2,9
ENSG00000130717,83549,UCK1,uridine-cytidine kinase 1,9
ENSG00000122299,29066,ZC3H7A,zinc finger CCCH-type containing 7A,16
ENSG00000132109,6737,TRIM21,tripartite motif containing 21,11
ENSG00000100372,10478,SLC25A17,solute carrier family 25 member 17,22
ENSG00000138829,2201,FBN2,fibrillin 2,5
ENSG00000103460,27324,TOX3,TOX high mobility group box family member 3,16
ENSG00000197024,57541,ZNF398,zinc finger protein 398,7
ENSG00000155269,27201,GPR78,G protein-coupled receptor 78,4
ENSG00000114648,23276,KLHL18,kelch like family member 18,3
ENSG00000116852,23046,KIF21B,kinesin family member 21B,1
ENSG00000120327,56122,PCDHB14,protocadherin beta 14,5
ENSG00000154645,140578,CHODL,chondrolectin,21
ENSG00000261701,3250,HPR,haptoglobin-related protein,16
ENSG00000028310,65980,BRD9,bromodomain containing 9,5
ENSG00000189410,400745,SH2D5,SH2 domain containing 5,1
ENSG00000143771,29097,CNIH4,cornichon family AMPA receptor auxiliary protein 4,1
ENSG00000123358,3164,NR4A1,nuclear receptor subfamily 4 group A member 1,12
ENSG00000166136,4714,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,10
ENSG00000170837,2850,GPR27,G protein-coupled receptor 27,3
ENSG00000188186,389541,LAMTOR4,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4",7
ENSG00000126457,3276,PRMT1,protein arginine methyltransferase 1,19
ENSG00000177519,56475,RPRM,"reprimo, TP53 dependent G2 arrest mediator homolog",2
ENSG00000188290,57801,HES4,hes family bHLH transcription factor 4,1
ENSG00000170370,2018,EMX2,empty spiracles homeobox 2,10
ENSG00000270647,8148,TAF15,TATA-box binding protein associated factor 15,17
ENSG00000172476,142684,RAB40A,"RAB40A, member RAS oncogene family",X
ENSG00000031691,55166,CENPQ,centromere protein Q,6
ENSG00000109320,4790,NFKB1,nuclear factor kappa B subunit 1,4
ENSG00000185115,56160,NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component",15
ENSG00000168038,54986,ULK4,unc-51 like kinase 4,3
ENSG00000152601,4154,MBNL1,muscleblind like splicing regulator 1,3
ENSG00000100629,145508,CEP128,centrosomal protein 128,14
ENSG00000168924,3954,LETM1,leucine zipper and EF-hand containing transmembrane protein 1,4
ENSG00000155893,92370,PXYLP1,2-phosphoxylose phosphatase 1,3
ENSG00000103254,65990,ANTKMT,adenine nucleotide translocase lysine methyltransferase,16
ENSG00000134996,26578,OSTF1,osteoclast stimulating factor 1,9
ENSG00000151491,2059,EPS8,epidermal growth factor receptor pathway substrate 8,12
ENSG00000146826,55262,MAP11,microtubule associated protein 11,7
ENSG00000112079,11329,STK38,serine/threonine kinase 38,6
ENSG00000118432,1268,CNR1,cannabinoid receptor 1,6
ENSG00000168894,51255,RNF181,ring finger protein 181,2
ENSG00000164970,203259,FAM219A,family with sequence similarity 219 member A,9
ENSG00000070601,22844,FRMPD1,FERM and PDZ domain containing 1,9
ENSG00000132837,29958,DMGDH,dimethylglycine dehydrogenase,5
ENSG00000049246,8863,PER3,period circadian regulator 3,1
ENSG00000184060,55803,ADAP2,ArfGAP with dual PH domains 2,17
ENSG00000164329,167153,TENT2,terminal nucleotidyltransferase 2,5
ENSG00000114805,23007,PLCH1,phospholipase C eta 1,3
ENSG00000197429,3652,IPP,intracisternal A particle-promoted polypeptide,1
ENSG00000198763,4536,ND2,MTND2,MT
ENSG00000112175,653,BMP5,bone morphogenetic protein 5,6
ENSG00000139926,122786,FRMD6,FERM domain containing 6,14
ENSG00000123353,29095,ORMDL2,ORMDL sphingolipid biosynthesis regulator 2,12
ENSG00000121064,59342,SCPEP1,serine carboxypeptidase 1,17
ENSG00000172137,794,CALB2,calbindin 2,16
ENSG00000055211,116254,GINM1,glycoprotein integral membrane 1,6
ENSG00000154262,23460,ABCA6,ATP binding cassette subfamily A member 6,17
ENSG00000183475,140460,ASB7,ankyrin repeat and SOCS box containing 7,15
ENSG00000125812,64412,GZF1,GDNF inducible zinc finger protein 1,20
ENSG00000148291,6835,SURF2,surfeit 2,9
ENSG00000148680,3363,HTR7,5-hydroxytryptamine receptor 7,10
ENSG00000223496,118460,EXOSC6,exosome component 6,16
ENSG00000007372,5080,PAX6,paired box 6,11
ENSG00000135447,5502,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,12
ENSG00000145780,56929,FEM1C,fem-1 homolog C,5
ENSG00000105136,79744,ZNF419,zinc finger protein 419,19
ENSG00000134109,9695,EDEM1,ER degradation enhancing alpha-mannosidase like protein 1,3
ENSG00000137267,7280,TUBB2A,tubulin beta 2A class IIa,6
ENSG00000280433,NA,NA,NA,NA
ENSG00000130844,55422,ZNF331,zinc finger protein 331,19
ENSG00000170425,136,ADORA2B,adenosine A2b receptor,17
ENSG00000113578,2246,FGF1,fibroblast growth factor 1,5
ENSG00000161654,124801,LSM12,LSM12 homolog,17
ENSG00000177409,219285,SAMD9L,sterile alpha motif domain containing 9 like,7
ENSG00000108239,23232,TBC1D12,TBC1 domain family member 12,10
ENSG00000101417,11264,PXMP4,peroxisomal membrane protein 4,20
ENSG00000212907,4539,ND4L,"NADH dehydrogenase, subunit 4L (complex I)",MT
ENSG00000185019,22888,UBOX5,U-box domain containing 5,20
ENSG00000186532,114826,SMYD4,SET and MYND domain containing 4,17
ENSG00000137628,55601,DDX60,DExD/H-box helicase 60,4
ENSG00000198128,391192,OR2L3,olfactory receptor family 2 subfamily L member 3,1
ENSG00000198755,4736,RPL10A,ribosomal protein L10a,6
ENSG00000132466,26057,ANKRD17,ankyrin repeat domain 17,4
ENSG00000066279,259266,ASPM,abnormal spindle microtubule assembly,1
ENSG00000188613,340719,NANOS1,nanos C2HC-type zinc finger 1,10
ENSG00000101158,51497,NELFCD,negative elongation factor complex member C/D,20
ENSG00000183186,126567,C2CD4C,C2 calcium dependent domain containing 4C,19
ENSG00000115541,3336,HSPE1,heat shock protein family E (Hsp10) member 1,2
ENSG00000159388,7832,BTG2,BTG anti-proliferation factor 2,1
ENSG00000103510,84148,KAT8,lysine acetyltransferase 8,16
ENSG00000116560,6421,SFPQ,splicing factor proline and glutamine rich,1
ENSG00000070214,23446,SLC44A1,solute carrier family 44 member 1,9
ENSG00000234224,730130,TMEM229A,transmembrane protein 229A,7
ENSG00000198604,11177,BAZ1A,bromodomain adjacent to zinc finger domain 1A,14
ENSG00000173404,3642,INSM1,INSM transcriptional repressor 1,20
ENSG00000130803,57693,ZNF317,zinc finger protein 317,19
ENSG00000135951,80705,TSGA10,testis specific 10,2
ENSG00000117500,50999,TMED5,transmembrane p24 trafficking protein 5,1
ENSG00000128965,79094,CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1,15
ENSG00000179097,3355,HTR1F,5-hydroxytryptamine receptor 1F,3
ENSG00000132716,50717,DCAF8,DDB1 and CUL4 associated factor 8,1
ENSG00000155463,5018,OXA1L,OXA1L mitochondrial inner membrane protein,14
ENSG00000122783,78996,CYREN,cell cycle regulator of NHEJ,7
ENSG00000148334,80142,PTGES2,prostaglandin E synthase 2,9
ENSG00000062282,84649,DGAT2,diacylglycerol O-acyltransferase 2,11
ENSG00000128285,2847,MCHR1,melanin concentrating hormone receptor 1,22
ENSG00000169032,5604,MAP2K1,mitogen-activated protein kinase kinase 1,15
ENSG00000010278,928,CD9,CD9 molecule,12
ENSG00000064225,10402,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",3
ENSG00000157193,7804,LRP8,LDL receptor related protein 8,1
ENSG00000144476,57007,ACKR3,atypical chemokine receptor 3,2
ENSG00000169249,8233,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",X
ENSG00000131143,1327,COX4I1,cytochrome c oxidase subunit 4I1,16
ENSG00000138231,51163,DBR1,debranching RNA lariats 1,3
ENSG00000170291,23587,ELP5,elongator acetyltransferase complex subunit 5,17
ENSG00000153914,140890,SREK1,splicing regulatory glutamic acid and lysine rich protein 1,5
ENSG00000124743,401265,KLHL31,kelch like family member 31,6
ENSG00000232653,643699,GOLGA8N,golgin A8 family member N,15
ENSG00000129521,112399,EGLN3,egl-9 family hypoxia inducible factor 3,14
ENSG00000189339,728661,SLC35E2B,solute carrier family 35 member E2B,1
ENSG00000182473,23265,EXOC7,exocyst complex component 7,17
ENSG00000156042,118491,CFAP70,cilia and flagella associated protein 70,10
ENSG00000101109,6789,STK4,serine/threonine kinase 4,20
ENSG00000118557,83449,PMFBP1,polyamine modulated factor 1 binding protein 1,16
ENSG00000139626,3695,ITGB7,integrin subunit beta 7,12
ENSG00000182544,84975,MFSD5,major facilitator superfamily domain containing 5,12
ENSG00000149547,9538,EI24,EI24 autophagy associated transmembrane protein,11
ENSG00000106330,64598,MOSPD3,motile sperm domain containing 3,7
ENSG00000116350,6429,SRSF4,serine and arginine rich splicing factor 4,1
ENSG00000111834,345895,RSPH4A,radial spoke head component 4A,6
ENSG00000100239,9701,PPP6R2,protein phosphatase 6 regulatory subunit 2,22
ENSG00000185813,5833,PCYT2,"phosphate cytidylyltransferase 2, ethanolamine",17
ENSG00000175213,79797,ZNF408,zinc finger protein 408,11
ENSG00000140319,6727,SRP14,signal recognition particle 14,15
ENSG00000129691,9070,ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit",8
ENSG00000189306,27341,RRP7A,ribosomal RNA processing 7 homolog A,22
ENSG00000150593,27250,PDCD4,programmed cell death 4,10
ENSG00000154856,147495,APCDD1,APC down-regulated 1,18
ENSG00000176473,79446,WDR25,WD repeat domain 25,14
ENSG00000068097,63897,HEATR6,HEAT repeat containing 6,17
ENSG00000186094,84871,AGBL4,ATP/GTP binding protein like 4,1
ENSG00000116337,271,AMPD2,adenosine monophosphate deaminase 2,1
ENSG00000089063,29058,TMEM230,transmembrane protein 230,20
ENSG00000176903,9240,PNMA1,PNMA family member 1,14
ENSG00000139292,8549,LGR5,leucine rich repeat containing G protein-coupled receptor 5,12
ENSG00000152455,79723,SUV39H2,suppressor of variegation 3-9 homolog 2,10
ENSG00000049883,79810,PTCD2,pentatricopeptide repeat domain 2,5
ENSG00000188811,387921,NHLRC3,NHL repeat containing 3,13
ENSG00000140395,80349,WDR61,WD repeat domain 61,15
ENSG00000105248,55702,YJU2,YJU2 splicing factor homolog,19
ENSG00000120725,64374,SIL1,SIL1 nucleotide exchange factor,5
ENSG00000116138,23341,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,1
ENSG00000090013,645,BLVRB,biliverdin reductase B,19
ENSG00000188707,113763,ZBED6CL,ZBED6 C-terminal like,7
ENSG00000138780,79807,GSTCD,glutathione S-transferase C-terminal domain containing,4
ENSG00000198832,140606,SELENOM,selenoprotein M,22
ENSG00000165588,5015,OTX2,orthodenticle homeobox 2,14
ENSG00000136169,83852,SETDB2,SET domain bifurcated histone lysine methyltransferase 2,13
ENSG00000169554,9839,ZEB2,zinc finger E-box binding homeobox 2,2
ENSG00000101230,140862,ISM1,isthmin 1,20
ENSG00000122741,79269,DCAF10,DDB1 and CUL4 associated factor 10,9
ENSG00000182923,80254,CEP63,centrosomal protein 63,3
ENSG00000123836,5208,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",1
ENSG00000198870,169436,STKLD1,serine/threonine kinase like domain containing 1,9
ENSG00000122870,80114,BICC1,BicC family RNA binding protein 1,10
ENSG00000128891,90416,CCDC32,coiled-coil domain containing 32,15
ENSG00000090539,8646,CHRD,chordin,3
ENSG00000099194,6319,SCD,stearoyl-CoA desaturase,10
ENSG00000116981,84618,NT5C1A,"5'-nucleotidase, cytosolic IA",1
ENSG00000111218,56341,PRMT8,protein arginine methyltransferase 8,12
ENSG00000096746,3189,HNRNPH3,heterogeneous nuclear ribonucleoprotein H3,10
ENSG00000198727,4519,CYTB,cytochrome b,MT
ENSG00000186575,4771,NF2,neurofibromin 2,22
ENSG00000067992,5165,PDK3,pyruvate dehydrogenase kinase 3,X
ENSG00000241837,539,ATP5PO,ATP synthase peripheral stalk subunit OSCP,21
ENSG00000156873,5261,PHKG2,phosphorylase kinase catalytic subunit gamma 2,16
ENSG00000277224,8343,H2BC7,H2B clustered histone 7,6
ENSG00000170468,79697,RIOX1,ribosomal oxygenase 1,14
ENSG00000068078,2261,FGFR3,fibroblast growth factor receptor 3,4
ENSG00000131495,4695,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,5
ENSG00000197157,27044,SND1,staphylococcal nuclease and tudor domain containing 1,7
ENSG00000080802,4850,CNOT4,CCR4-NOT transcription complex subunit 4,7
ENSG00000142541,23521,RPL13A,ribosomal protein L13a,19
ENSG00000160191,5152,PDE9A,phosphodiesterase 9A,21
ENSG00000125355,55026,TMEM255A,transmembrane protein 255A,X
ENSG00000173482,5797,PTPRM,protein tyrosine phosphatase receptor type M,18
ENSG00000149196,51501,HIKESHI,heat shock protein nuclear import factor hikeshi,11
ENSG00000138613,83464,APH1B,"aph-1 homolog B, gamma-secretase subunit",15
ENSG00000115241,5496,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",2
ENSG00000152683,55676,SLC30A6,solute carrier family 30 member 6,2
ENSG00000182902,83733,SLC25A18,solute carrier family 25 member 18,22
ENSG00000183978,28958,COA3,cytochrome c oxidase assembly factor 3,17
ENSG00000196793,8187,ZNF239,zinc finger protein 239,10
ENSG00000125170,55715,DOK4,docking protein 4,16
ENSG00000165714,118426,BORCS5,BLOC-1 related complex subunit 5,12
ENSG00000171408,27115,PDE7B,phosphodiesterase 7B,6
ENSG00000158796,9191,DEDD,death effector domain containing,1
ENSG00000115677,3069,HDLBP,high density lipoprotein binding protein,2
ENSG00000172296,55304,SPTLC3,serine palmitoyltransferase long chain base subunit 3,20
ENSG00000128422,3872,KRT17,keratin 17,17
ENSG00000179562,79571,GCC1,GRIP and coiled-coil domain containing 1,7
ENSG00000171314,5223,PGAM1,phosphoglycerate mutase 1,10
ENSG00000164270,3360,HTR4,5-hydroxytryptamine receptor 4,5
ENSG00000163961,165918,RNF168,ring finger protein 168,3
ENSG00000107863,57584,ARHGAP21,Rho GTPase activating protein 21,10
ENSG00000169933,9758,FRMPD4,FERM and PDZ domain containing 4,X
ENSG00000009709,5081,PAX7,paired box 7,1
ENSG00000011523,23177,CEP68,centrosomal protein 68,2
ENSG00000113368,4001,LMNB1,lamin B1,5
ENSG00000102981,50855,PARD6A,par-6 family cell polarity regulator alpha,16
ENSG00000197448,373156,GSTK1,glutathione S-transferase kappa 1,7
ENSG00000153046,9425,CDYL,chromodomain Y like,6
ENSG00000134186,55119,PRPF38B,pre-mRNA processing factor 38B,1
ENSG00000214290,120376,COLCA2,colorectal cancer associated 2,11
ENSG00000198231,11325,DDX42,DEAD-box helicase 42,17
ENSG00000161800,29127,RACGAP1,Rac GTPase activating protein 1,12
ENSG00000180354,222166,MTURN,"maturin, neural progenitor differentiation regulator homolog",7
ENSG00000285476,NA,NA,NA,NA
ENSG00000225830,2074,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",10
ENSG00000255823,100463486,MTRNR2L8,MT-RNR2 like 8,11
ENSG00000168314,4336,MOBP,myelin associated oligodendrocyte basic protein,3
ENSG00000256061,161582,DNAAF4,dynein axonemal assembly factor 4,15
ENSG00000111361,1967,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,12
ENSG00000174197,23269,MGA,MAX dimerization protein MGA,15
ENSG00000083168,7994,KAT6A,lysine acetyltransferase 6A,8
ENSG00000182362,54059,YBEY,ybeY metalloendoribonuclease,21
ENSG00000128185,85359,DGCR6L,DiGeorge syndrome critical region gene 6 like,22
ENSG00000130706,11047,ADRM1,adhesion regulating molecule 1,20
ENSG00000187778,10445,MCRS1,microspherule protein 1,12
ENSG00000198252,6815,STYX,serine/threonine/tyrosine interacting protein,14
ENSG00000116497,64766,S100PBP,S100P binding protein,1
ENSG00000136938,10541,ANP32B,acidic nuclear phosphoprotein 32 family member B,9
ENSG00000184508,374659,HDDC3,HD domain containing 3,15
ENSG00000130165,84337,ELOF1,elongation factor 1 homolog,19
ENSG00000132763,25974,MMACHC,metabolism of cobalamin associated C,1
ENSG00000153495,121793,TEX29,testis expressed 29,13
ENSG00000164978,318,NUDT2,nudix hydrolase 2,9
ENSG00000130177,8881,CDC16,cell division cycle 16,13
ENSG00000182752,5069,PAPPA,pappalysin 1,9
ENSG00000132300,55037,PTCD3,pentatricopeptide repeat domain 3,2
ENSG00000143502,55061,SUSD4,sushi domain containing 4,1
ENSG00000150991,7316,UBC,ubiquitin C,12
ENSG00000100330,8897,MTMR3,myotubularin related protein 3,22
ENSG00000233954,440567,UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,1
ENSG00000120029,79591,ARMH3,armadillo like helical domain containing 3,10
ENSG00000253305,56100,PCDHGB6,"protocadherin gamma subfamily B, 6",5
ENSG00000136436,10241,CALCOCO2,calcium binding and coiled-coil domain 2,17
ENSG00000197852,55924,INKA2,inka box actin regulator 2,1
ENSG00000147457,91782,CHMP7,charged multivesicular body protein 7,8
ENSG00000124721,1769,DNAH8,dynein axonemal heavy chain 8,6
ENSG00000116670,10459,MAD2L2,mitotic arrest deficient 2 like 2,1
ENSG00000141699,162427,RETREG3,reticulophagy regulator family member 3,17
ENSG00000174099,253827,MSRB3,methionine sulfoxide reductase B3,12
ENSG00000158813,1896,EDA,ectodysplasin A,X
ENSG00000074800,2023,ENO1,enolase 1,1
ENSG00000185010,2157,F8,coagulation factor VIII,X
ENSG00000032389,7260,EIPR1,EARP complex and GARP complex interacting protein 1,2
ENSG00000170270,84520,GON7,GON7 subunit of KEOPS complex,14
ENSG00000165457,2350,FOLR2,folate receptor beta,11
ENSG00000122641,3624,INHBA,inhibin subunit beta A,7
ENSG00000119866,53335,BCL11A,BAF chromatin remodeling complex subunit BCL11A,2
ENSG00000176261,339487,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,1
ENSG00000100596,9517,SPTLC2,serine palmitoyltransferase long chain base subunit 2,14
ENSG00000104613,55174,INTS10,integrator complex subunit 10,8
ENSG00000162869,129285,PPP1R21,protein phosphatase 1 regulatory subunit 21,2
ENSG00000144619,152330,CNTN4,contactin 4,3
ENSG00000009335,9690,UBE3C,ubiquitin protein ligase E3C,7
ENSG00000197863,388536,ZNF790,zinc finger protein 790,19
ENSG00000250305,57604,TRMT9B,tRNA methyltransferase 9B (putative),8
ENSG00000141665,201456,FBXO15,F-box protein 15,18
ENSG00000169375,25942,SIN3A,SIN3 transcription regulator family member A,15
ENSG00000177030,10522,DEAF1,DEAF1 transcription factor,11
ENSG00000115539,79031,PDCL3,phosducin like 3,2
ENSG00000142657,5226,PGD,phosphogluconate dehydrogenase,1
ENSG00000092051,84502,JPH4,junctophilin 4,14
ENSG00000167196,26263,FBXO22,F-box protein 22,15
ENSG00000120549,56243,KIAA1217,KIAA1217,10
ENSG00000136122,79866,BORA,BORA aurora kinase A activator,13
ENSG00000151117,144110,TMEM86A,transmembrane protein 86A,11
ENSG00000136935,2800,GOLGA1,golgin A1,9
ENSG00000198169,90987,ZNF251,zinc finger protein 251,8
ENSG00000156172,157657,C8orf37,chromosome 8 open reading frame 37,8
ENSG00000173575,1106,CHD2,chromodomain helicase DNA binding protein 2,15
ENSG00000139800,85416,ZIC5,Zic family member 5,13
ENSG00000166313,322,APBB1,amyloid beta precursor protein binding family B member 1,11
ENSG00000213139,1427,CRYGS,crystallin gamma S,3
ENSG00000184611,90134,KCNH7,potassium voltage-gated channel subfamily H member 7,2
ENSG00000170464,202052,DNAJC18,DnaJ heat shock protein family (Hsp40) member C18,5
ENSG00000183647,348327,ZNF530,zinc finger protein 530,19
ENSG00000186732,758,MPPED1,metallophosphoesterase domain containing 1,22
ENSG00000089693,8079,MLF2,myeloid leukemia factor 2,12
ENSG00000176788,10409,BASP1,brain abundant membrane attached signal protein 1,5
ENSG00000101670,9388,LIPG,"lipase G, endothelial type",18
ENSG00000062038,1001,CDH3,cadherin 3,16
ENSG00000112029,26271,FBXO5,F-box protein 5,6
ENSG00000108691,6347,CCL2,C-C motif chemokine ligand 2,17
ENSG00000198000,55035,NOL8,nucleolar protein 8,9
ENSG00000172728,84750,FUT10,fucosyltransferase 10,8
ENSG00000204052,221424,LRRC73,leucine rich repeat containing 73,6
ENSG00000178235,114798,SLITRK1,SLIT and NTRK like family member 1,13
ENSG00000163393,55356,SLC22A15,solute carrier family 22 member 15,1
ENSG00000175264,8534,CHST1,carbohydrate sulfotransferase 1,11
ENSG00000157570,90139,TSPAN18,tetraspanin 18,11
ENSG00000136908,8818,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",9
ENSG00000179178,128218,TMEM125,transmembrane protein 125,1
ENSG00000072657,29953,TRHDE,thyrotropin releasing hormone degrading enzyme,12
ENSG00000204520,100507436,MICA,MHC class I polypeptide-related sequence A,6
ENSG00000197982,127687,C1orf122,chromosome 1 open reading frame 122,1
ENSG00000107951,55149,MTPAP,mitochondrial poly(A) polymerase,10
ENSG00000159450,7062,TCHH,trichohyalin,1
ENSG00000196503,132946,ARL9,ADP ribosylation factor like GTPase 9,4
ENSG00000104059,23359,FAM189A1,family with sequence similarity 189 member A1,15
ENSG00000087253,54947,LPCAT2,lysophosphatidylcholine acyltransferase 2,16
ENSG00000079215,6507,SLC1A3,solute carrier family 1 member 3,5
ENSG00000204086,29935,RPA4,replication protein A4,X
ENSG00000049759,23327,NEDD4L,NEDD4 like E3 ubiquitin protein ligase,18
ENSG00000153774,10428,CFDP1,craniofacial development protein 1,16
ENSG00000198818,113402,SFT2D1,SFT2 domain containing 1,6
ENSG00000167815,7001,PRDX2,peroxiredoxin 2,19
ENSG00000099715,83259,PCDH11Y,protocadherin 11 Y-linked,Y
ENSG00000104140,171177,RHOV,ras homolog family member V,15
ENSG00000196387,7699,ZNF140,zinc finger protein 140,12
ENSG00000215012,79680,RTL10,retrotransposon Gag like 10,22
ENSG00000204482,7940,LST1,leukocyte specific transcript 1,6
ENSG00000154767,7508,XPC,"XPC complex subunit, DNA damage recognition and repair factor",3
